Months,Measure Names,Months,Daily Volatility,Avg. Price,Max. Price,Measure Values,Min. Price
1/1/1987,Max. Price,1/1/1987,,$18.7,$19.1,19.14,$18.0
1/1/1987,Avg. Price,1/1/1987,,$18.7,$19.1,18.666666667,$18.0
1/1/1987,Min. Price,1/1/1987,,$18.7,$19.1,17.95,$18.0
2/1/1987,Max. Price,2/1/1987,,$17.8,$18.6,18.58,$16.4
2/1/1987,Avg. Price,2/1/1987,,$17.8,$18.6,17.82,$16.4
2/1/1987,Min. Price,2/1/1987,,$17.8,$18.6,16.4,$16.4
3/1/1987,Max. Price,3/1/1987,,$18.3,$18.9,18.87,$16.4
3/1/1987,Avg. Price,3/1/1987,,$18.3,$18.9,18.301818182,$16.4
3/1/1987,Min. Price,3/1/1987,,$18.3,$18.9,16.39,$16.4
4/1/1987,Max. Price,4/1/1987,,$18.7,$19.0,19.03,$18.0
4/1/1987,Avg. Price,4/1/1987,,$18.7,$19.0,18.655714286,$18.0
4/1/1987,Min. Price,4/1/1987,,$18.7,$19.0,17.98,$18.0
5/1/1987,Max. Price,5/1/1987,,$19.4,$19.9,19.89,$18.8
5/1/1987,Avg. Price,5/1/1987,,$19.4,$19.9,19.376,$18.8
5/1/1987,Min. Price,5/1/1987,,$19.4,$19.9,18.83,$18.8
6/1/1987,Max. Price,6/1/1987,,$20.0,$20.7,20.66,$19.4
6/1/1987,Avg. Price,6/1/1987,,$20.0,$20.7,19.994545455,$19.4
6/1/1987,Min. Price,6/1/1987,,$20.0,$20.7,19.4,$19.4
7/1/1987,Max. Price,7/1/1987,,$21.3,$22.4,22.39,$20.5
7/1/1987,Avg. Price,7/1/1987,,$21.3,$22.4,21.331363636,$20.5
7/1/1987,Min. Price,7/1/1987,,$21.3,$22.4,20.48,$20.5
8/1/1987,Max. Price,8/1/1987,,$20.2,$22.2,22.16,$18.6
8/1/1987,Avg. Price,8/1/1987,,$20.2,$22.2,20.225714286,$18.6
8/1/1987,Min. Price,8/1/1987,,$20.2,$22.2,18.6,$18.6
9/1/1987,Max. Price,9/1/1987,,$19.5,$19.7,19.73,$18.9
9/1/1987,Avg. Price,9/1/1987,,$19.5,$19.7,19.522857143,$18.9
9/1/1987,Min. Price,9/1/1987,,$19.5,$19.7,18.94,$18.9
10/1/1987,Max. Price,10/1/1987,,$19.9,$20.2,20.22,$19.4
10/1/1987,Avg. Price,10/1/1987,,$19.9,$20.2,19.862727273,$19.4
10/1/1987,Min. Price,10/1/1987,,$19.9,$20.2,19.44,$19.4
11/1/1987,Max. Price,11/1/1987,,$18.8,$19.6,19.62,$18.4
11/1/1987,Avg. Price,11/1/1987,,$18.8,$19.6,18.846315789,$18.4
